																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,899	1130267	113819																						
2	2,822	7121475	504619																						
3	3,526	10612626	1427810																						
4	6,022	263897	20037																						
5	8,474	2806	164																						
6	12,344	36153	1276																						
7	14,479	2821	128																						
8	17,355	21045	638																						
Total		19191088	2068492																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,901	1129209	114112																						
2	2,824	7133558	510029																						
3	3,527	10608478	1426532																						
4	6,023	263168	20043																						
5	8,476	3110	175																						
6	12,339	35001	1262																						
7	14,483	3024	122																						
8	17,365	21367	646																						
Total		19196915	2072921																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,913	257974	27672																						
2	2,862	949658	46238																						
3	4,145	2190	262																						
4	5,93	14802	744																						
5	11,105	43985	1557																						
6	13,687	1953	98																						
7	18,024	63282	1990																						
8	18,632	56806	1469																						
Total		1390650	80030																						
																									
																									
																									
																									
																									
																									
Sample Name : 0.1 uM																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,488	9158	1107																						
2	2,428	3301	293																						
3	2,629	2949	249																						
4	2,833	1170	208																						
5	3,06	2227	180																						
6	3,167	1840	167																						
7	3,548	13458	1394																						
8	11,292	11833	404																						
Total		45935	4002																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,489	9502	1110																						
2	3,549	8917	1289																						
3	11,323	11668	409																						
Total		30087	2808																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,872	151918	3010																						
2	2,436	41565	1831																						
3	2,973	4917	647																						
4	3,2	30673	2072																						
5	6,884	2511	171																						
6	7,68	2020	142																						
7	8,931	4620	200																						
8	11,332	5959320	194084																						
9	13,574	34390	1142																						
10	14,944	166258	5053																						
11	15,956	146945	4071																						
12	18,213	54880	1052																						
13	19,032	20064	479																						
Total		6620081	213955																						
																									
																									
																									
																									
																									
																									
Sample Name : 0.5 uM																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,529	6728	534																						
2	2,87	1735	308																						
3	3,552	46243	6041																						
4	11,417	61348	1928																						
Total		116054	8810																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,532	13937	632																						
2	2,208	1972	161																						
3	2,444	1841	185																						
4	2,873	2970	355																						
5	3,554	45999	6015																						
6	11,41	61554	1927																						
Total		128274	9274																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,551	1276	122																						
2	1,816	3033	392																						
3	2,334	6841	758																						
4	2,866	42979	1752																						
5	3,63	82133	3373																						
6	6,895	13235	870																						
7	7,67	17091	882																						
8	9,023	31810	1044																						
9	9,617	2058	318																						
10	10,219	25273	615																						
11	10,55	3135	530																						
12	11,437	30609956	926308																						
13	13,607	175923	5641																						
14	14,973	851879	25234																						
15	15,978	753029	20344																						
16	18,24	271594	5175																						
